"App","Installs","Current Ver","Type","highest_price"
"EP Cook Book",0,"1","Paid",200
"Vargo Anesthesia Mega App",1000,"19","Paid",79.99
"Language Therapy: Aphasia",1000,"3.1.1","Paid",74.99
"Human Anatomy Atlas 2018: Complete 3D Human Body",100000,"2018.5.47","Paid",49.98
"LTC AS Legal",100,"3.0.1","Paid",39.99
"A Manual of Acupuncture",1000,"2.1.35","Paid",33.99
"PTA Content Master",1000,"2.1","Paid",29.99
"EMT PASS",1000,"2.0.2","Paid",29.99
"Advanced Comprehension Therapy",100,"1.2","Paid",24.99
"Muscle Premium - Human Anatomy, Kinesiology, Bones",10000,"7.1.17","Paid",24.99
